,id,work_exp(in years),skill1,skill2
3454,1359,5,Statistics,Data Analytics
3459,1360,8,Data engineer,Data Science
3463,1361,0,Data Science,Management
3465,1362,9,Applied Science,Data Analytics
3469,1363,5,Cloud computing,Data Analytics
3470,1364,7,DBMS,Data Analytics
3471,1365,6,Data Science,Data Analytics
3480,1366,1,Executive,Data Analytics
3482,1367,1,Data Science,Machine Learning
3483,1368,10,Data Science,Data Analytics
3485,1369,1,PowerBI,Data Analytics
3486,1370,0,Data Science,Data Analytics
3487,1371,1,Data Science,Data Analytics
3488,1372,6,Data Science,Data engineer
3491,1373,4,Data Science,Data Analytics
3492,1374,0,Data Science,Data Analytics
3494,1375,10,Research,Data Analytics
3496,1376,7,Executive,Engineer
3497,1377,2,Computer Vision,Data engineer
3498,1378,2,Data Science,Artificial Intelligence
3503,1379,8,Data Science,Data Analytics
3504,1380,10,Data Science,Software Development
3508,1381,5,Data Science,Data Analytics
3509,1382,6,Machine Learning,science and numerics
3510,1383,8,Statistics,Data Analytics
3514,1384,3,Data Science,Data Analytics
3515,1385,0,Data Science,Data Analytics
3524,1386,10,Data Science,Hadoop-Apache
3526,1387,10,Data Science,Software Development
3527,1388,7,Data Science,Data Analytics
3533,1389,1,Data Science,Data Analytics
3535,1390,1,Data Science,Data Analytics
3541,1391,1,Data Science,Data Analytics
3548,1392,8,Machine Learning,Management
3551,1393,4,Data Science,Data Analytics
3552,1394,8,Data Science,Data Analytics
3553,1395,9,Research,Artificial Intelligence
3554,1396,4,Data Science,Data Analytics
3557,1397,6,Data Science,Data Analytics
3558,1398,3,Data Science,Data Analytics
3560,1399,10,Data Science,Engineer
3564,1400,9,Data Science,Artificial Intelligence
3566,1401,4,DBMS,Data Analytics
3567,1402,8,Data Science,Data Analytics
3573,1403,1,Computer Vision,management
3576,1404,4,Statistics,Hadoop-Apache
3582,1405,0,Data Science,Data Analytics
3585,1406,1,Machine Learning,Hadoop-Apache
3594,1407,6,Machine Learning,Data Analytics
3597,1408,2,Data Science,Data Analytics
3601,1409,2,DBMS,Artificial Intelligence
3602,1410,0,Machine Learning,Data Analytics
3603,1411,9,Machine Learning,Data Analytics
3604,1412,5,Machine Learning,Data Analytics
3605,1413,1,Statistics,Data Analytics
3607,1414,3,Statistics,Artificial Intelligence
3608,1415,4,Data Science,Data Analytics
3610,1416,1,Management,science and numerics
3611,1417,5,Machine Learning,Deep Learning
3612,1418,8,Statistics,Data Analytics
3613,1419,4,Data Science,Data Analytics
3614,1420,1,Data Science,Data Analytics
3615,1421,2,Data Science,Research
3616,1422,9,Data Science,Data Analytics
3617,1423,7,Data engineer,Data Analytics
3618,1424,3,Data Science,Data Analytics
3619,1425,10,Data Science,Data Analytics
3620,1426,5,Machine Learning,Data Analytics
3623,1427,2,Data Science,Management
3624,1428,9,Data Science,Data Analytics
3628,1429,10,Data Science,Data Analytics
3629,1430,8,Computer Vision,Data Analytics
3630,1431,8,Machine Learning,Data Analytics
3631,1432,3,Machine Learning,Data Analytics
3640,1433,8,Statistics,Data Analytics
3641,1434,3,PowerBI,science and numerics
3642,1435,2,Data Science,Data Analytics
3643,1436,1,DBMS,Data Analytics
3644,1437,0,Machine Learning,Data Science
3645,1438,0,Data Science,Research
3654,1439,5,Machine Learning,Data Analytics
3655,1440,7,Management,Data Analytics
3658,1441,10,Statistics,Data Analytics
3659,1442,3,Computer Vision,Data Analytics
3663,1443,1,Computer Vision,Hadoop-Apache
3664,1444,8,Research,Data Analytics
3667,1445,1,Data Science,Data Analytics
3670,1446,10,Research,Research
3673,1447,1,Artificial intelligence,Management
3676,1448,5,Data Science,Data Analytics
3687,1449,9,Data Science,Management
3688,1450,7,Research,Data Analytics
3689,1451,8,Machine Learning,Artificial Intelligence
3690,1452,7,Data Science,Data Analytics
3692,1453,1,Executive,Data Analytics
3693,1454,1,DBMS,Data Analytics
3695,1455,9,Data Science,Data Analytics
3698,1456,10,Data Science,Data Analytics
3700,1457,0,Data Science,Management
3703,1458,9,Statistics,Data Analytics
3707,1459,0,Data Science,Data Analytics
3709,1460,8,PowerBI,Engineer
3710,1461,2,Statistics,Data Analytics
3713,1462,9,Data Science,Data Analytics
3714,1463,9,Finance,Data Analytics
3720,1464,7,Data Science,Data Analytics
3721,1465,2,DBMS,Data Analytics
3722,1466,9,Data Science,Data Analytics
3723,1467,1,Executive,Data Analytics
3725,1468,6,Data Science,management
3727,1469,5,Machine Learning,Data Analytics
3729,1470,2,Engineer,Data Analytics
3732,1471,8,Research,Data Analytics
3734,1472,2,Management,Data Analytics
3736,1473,7,Executive,Data Science
3738,1474,3,Statistics,Data Analytics
3741,1475,9,Data Science,Data Analytics
3742,1476,0,Data Science,Data Analytics
3745,1477,10,Data Science,Data Analytics
3751,1478,7,Statistics,Data Analytics
3752,1479,0,PowerBI,Data Analytics
3753,1480,7,Executive,Management
3758,1481,9,Data Science,Data Analytics
3760,1482,8,Machine Learning,Data Analytics
3763,1483,3,DBMS,Hadoop-Apache
3766,1484,4,Statistics,Data Analytics
3767,1485,3,Data Science,Data engineer
3772,1486,1,DBMS,Artificial Intelligence
3776,1487,6,Executive,science and numerics
3777,1488,5,Statistics,science and numerics
3779,1489,5,Machine Learning,Data Analytics
3791,1490,1,Marketing,Deep Learning
3793,1491,8,Executive,Data Analytics
3795,1492,10,Statistics,Data Analytics
3799,1493,9,Data Science,Data engineer
3802,1494,4,Management,Data Analytics
3810,1495,0,Data Science,Management
3815,1496,4,Statistics,Data Analytics
3816,1497,2,Data Science,Data engineer
3819,1498,4,Executive,Research
3821,1499,4,Statistics,management
3824,1500,5,Executive,Data Analytics
3825,1501,1,Data Science,Artificial Intelligence
3834,1502,0,Data Science,Data Analytics
3835,1503,4,Executive,management
3836,1504,5,Executive,Artificial Intelligence
3839,1505,2,Data Science,Data Analytics
3841,1506,0,Data Science,Artificial Intelligence
3845,1507,1,Management,Hadoop-Apache
3846,1508,6,Data Science,Data Analytics
3848,1509,3,Executive,Data Analytics
3849,1510,4,Data Science,Data Analytics
3853,1511,10,Data Science,Data Analytics
3854,1512,10,Data Science,Data Analytics
3857,1513,3,Machine Learning,Research
3858,1514,4,Executive,Data engineer
3862,1515,4,Management,Research
3864,1516,5,Data Science,Data Analytics
3865,1517,8,Data engineer,Data Analytics
3868,1518,7,Research,Data Analytics
3870,1519,4,Data Science,Data Analytics
3876,1520,1,Statistics,Data Analytics
3877,1521,3,PowerBI,Artificial Intelligence
3881,1522,3,Machine Learning,Management
3883,1523,9,Data Science,Research
3885,1524,5,Data Science,Data Analytics
3887,1525,2,PowerBI,Data Analytics
3892,1526,1,Data Science,Data Analytics
3893,1527,4,Data Science,Hadoop-Apache
3894,1528,10,Data Science,Management
3895,1529,10,Data Science,Management
3897,1530,7,Research,Data Analytics
3900,1531,1,Data Science,Artificial Intelligence
3902,1532,9,Statistics,Data Analytics
3906,1533,6,Data Science,Data Analytics
3907,1534,9,Statistics,management
3912,1535,9,Machine Learning,Management
3913,1536,5,Data Science,Data Science
3914,1537,3,Machine Learning,Data engineer
3918,1538,2,Data Science,Artificial Intelligence
3919,1539,2,Statistics,Data Analytics
3921,1540,1,Data Science,Data Analytics
3923,1541,5,Artificial intelligence,Data Analytics
3925,1542,5,Data Science,Engineer
3928,1543,0,DBMS,Data engineer
3929,1544,8,Data Science,Data Science
3932,1545,2,Machine Learning,Data Analytics
3935,1546,1,Data Science,Research
3942,1547,1,Data Science,Artificial Intelligence
3943,1548,4,Data Science,Data Analytics
3944,1549,5,Statistics,Artificial Intelligence
3946,1550,3,Data Science,Data Analytics
3948,1551,2,Data Science,Data Analytics
3953,1552,5,Data Science,Management
3955,1553,5,Research,Data Science
3957,1554,2,Machine Learning,Data Science
3959,1555,2,Executive,Data Analytics
3971,1556,6,Computer Vision,Artificial Intelligence
3975,1557,0,Research,science and numerics
3976,1558,4,PowerBI,Data Analytics
3978,1559,4,Data Science,Data Analytics
3980,1560,7,Data Science,Research
3982,1561,5,Data Science,Data engineer
3984,1562,1,Data Science,Data Analytics
3987,1563,3,Finance,science and numerics
3994,1564,7,Data Science,Data Analytics
3997,1565,4,Data Science,Data Analytics
4003,1566,2,Data Science,Data Analytics
4006,1567,2,Management,Data Analytics
4008,1568,7,Data Science,science and numerics
4009,1569,4,Marketing,Artificial Intelligence
4011,1570,0,Machine Learning,Data Analytics
4012,1571,8,Machine Learning,Data engineer
4014,1572,4,Research,Data Analytics
4018,1573,3,PowerBI,Data Analytics
4024,1574,1,Management,Data Analytics
4025,1575,4,Data engineer,Data Analytics
4027,1576,0,Data Science,Data Analytics
4029,1577,4,Data Science,Data Analytics
4030,1578,2,Data Science,Data Analytics
4032,1579,4,DBMS,Artificial Intelligence
4033,1580,3,Data Science,Data Science
4034,1581,2,Applied Science,Data Analytics
4035,1582,10,Marketing,Data Analytics
4039,1583,2,Data Science,Data Science
4043,1584,7,Data Science,Artificial Intelligence
4044,1585,5,Machine Learning,Data Analytics
4045,1586,9,Finance,Data Analytics
4048,1587,7,Data Science,Artificial Intelligence
4060,1588,2,Statistics,Artificial Intelligence
4061,1589,7,Machine Learning,Data Analytics
4062,1590,1,Statistics,Deep Learning
4063,1591,1,Data Science,Data Analytics
4066,1592,6,Data Science,Data Analytics
4070,1593,10,Data Science,Data Analytics
4071,1594,1,Data Science,Data Analytics
4072,1595,7,DBMS,Management
4085,1596,0,Machine Learning,Data Analytics
4087,1597,6,Machine Learning,Data Analytics
4090,1598,1,Machine Learning,Data Analytics
4095,1599,8,Statistics,Data Analytics
4096,1600,1,Statistics,Data Analytics
4103,1601,10,Machine Learning,Data Analytics
4104,1602,10,Data engineer,Data Analytics
4113,1603,2,Data Science,Data Analytics
4114,1604,9,Statistics,Hadoop-Apache
4115,1605,0,Data Science,science and numerics
4116,1606,2,Executive,Data Analytics
4123,1607,3,Data Science,Software Development
4124,1608,5,Data Science,Data Analytics
4125,1609,5,Executive,Data Analytics
4126,1610,9,Statistics,Data Analytics
4137,1611,9,Data Science,science and numerics
4143,1612,7,Data Science,Data Analytics
4144,1613,2,Data Science,Research
4148,1614,6,Executive,Data Analytics
4149,1615,1,Data Science,Data Analytics
4150,1616,1,Machine Learning,Data Science
4154,1617,7,Statistics,Hadoop-Apache
4155,1618,6,Data Science,Data Analytics
4156,1619,4,Executive,Data Analytics
4157,1620,6,Data Science,Data Analytics
4160,1621,5,Statistics,Artificial Intelligence
4163,1622,6,DBMS,Research
4167,1623,9,Data Science,Software Development
4168,1624,6,Data Science,Data Analytics
4169,1625,4,Machine Learning,Data Analytics
4171,1626,8,Data Science,Artificial Intelligence
4174,1627,1,Data Science,Data Analytics
4176,1628,9,Data Science,Data Analytics
4178,1629,0,Finance,Data Analytics
4179,1630,10,Artificial intelligence,Data Analytics
4181,1631,5,Data Science,Data engineer
4183,1632,2,Data Science,Data Analytics
4184,1633,6,Data Science,Data Analytics
4185,1634,0,Data Science,Management
4187,1635,7,Executive,Data Analytics
4189,1636,2,Statistics,management
4194,1637,7,Data Science,Data Analytics
4195,1638,4,Data Science,Management
4200,1639,7,PowerBI,Management
4201,1640,10,Statistics,Artificial Intelligence
4203,1641,8,Cloud computing,Data Analytics
4204,1642,2,Data Science,Engineer
4207,1643,9,Data Science,Data Analytics
4208,1644,1,Data Science,Data Analytics
4209,1645,4,Statistics,Hadoop-Apache
4212,1646,7,Statistics,Data Analytics
4213,1647,8,Data Science,Data Analytics
4214,1648,8,Computer Vision,Data Analytics
4218,1649,2,Data Science,Data Analytics
4220,1650,6,Machine Learning,Data Science
4221,1651,9,Research,Management
4222,1652,5,DBMS,Management
4227,1653,5,PowerBI,Data Analytics
4228,1654,9,Machine Learning,Data Analytics
4232,1655,7,Data Science,Data Analytics
4233,1656,0,DBMS,Data Analytics
4234,1657,2,Machine Learning,Research
4237,1658,7,Data Science,Artificial Intelligence
4241,1659,1,Computer Vision,science and numerics
4243,1660,1,Artificial intelligence,Data Analytics
4247,1661,7,Data Science,Data Analytics
4248,1662,7,Statistics,Data Analytics
4249,1663,9,Data Science,Data Science
4250,1664,8,Data Science,Data Analytics
4252,1665,3,Data Science,Artificial Intelligence
4254,1666,10,Data Science,Data Analytics
4255,1667,10,Data Science,Infrastructure
4257,1668,4,Research,Data Analytics
4259,1669,6,Machine Learning,Data Analytics
4260,1670,3,PowerBI,Data Analytics
4261,1671,10,Data Science,Data Analytics
4262,1672,10,Statistics,Data Analytics
4263,1673,4,Data Science,Data Analytics
4265,1674,7,Data Science,Data Analytics
4266,1675,0,Artificial intelligence,Data Analytics
4273,1676,0,Statistics,science and numerics
4277,1677,3,Data Science,Management
4279,1678,10,DBMS,Artificial Intelligence
4280,1679,2,Data Science,Data Analytics
4283,1680,5,Machine Learning,Data Analytics
4285,1681,7,Data Science,Data Analytics
4287,1682,8,Executive,Data Analytics
4297,1683,6,Data Science,Data Analytics
4298,1684,3,Data Science,Artificial Intelligence
4299,1685,5,Management,Data Analytics
4305,1686,1,Finance,Data Science
4306,1687,5,Data Science,Data Analytics
4308,1688,2,Data Science,Data Analytics
4312,1689,4,Data Science,Hadoop-Apache
4315,1690,10,Executive,Data Analytics
4317,1691,2,Data Science,Data Analytics
4318,1692,7,Machine Learning,Data Analytics
4320,1693,10,Data Science,Management
4326,1694,10,Data Science,Data Analytics
4328,1695,9,Data Science,Data Science
4329,1696,2,Machine Learning,Data Analytics
4332,1697,4,Data Science,Data Analytics
4333,1698,10,PowerBI,Data Analytics
4338,1699,3,Data Science,Data Analytics
4340,1700,6,Data Science,Data Analytics
4353,1701,3,Data Science,Infrastructure
4355,1702,2,Statistics,Data Science
4359,1703,9,Data Science,Data Analytics
4362,1704,9,Executive,Data Analytics
4366,1705,10,Executive,Data Analytics
4368,1706,6,Data Science,Data Analytics
4378,1707,9,Data Science,Infrastructure
4381,1708,10,Data Science,Deep Learning
4383,1709,6,PowerBI,Data Analytics
4387,1710,4,Statistics,Management
4389,1711,6,Data Science,Data Analytics
4398,1712,9,Data Science,Infrastructure
4401,1713,8,Statistics,Hadoop-Apache
4405,1714,3,Machine Learning,Data Science
4406,1715,5,Statistics,science and numerics
4413,1716,2,PowerBI,Data engineer
4415,1717,1,Research,Data Analytics
4416,1718,5,Statistics,Data Analytics
4418,1719,8,Data Science,Data Analytics
4421,1720,3,Statistics,Data Analytics
4422,1721,4,Statistics,Data Analytics
4425,1722,3,Artificial intelligence,Management
4428,1723,4,Statistics,Data Analytics
4431,1724,10,Data Science,Artificial Intelligence
4433,1725,2,Data Science,Artificial Intelligence
4434,1726,7,PowerBI,Data Analytics
4436,1727,5,DBMS,Data Analytics
4438,1728,5,Data Science,Software Development
4439,1729,8,Data Science,science and numerics
4441,1730,8,Data Science,Hadoop-Apache
4445,1731,0,PowerBI,Hadoop-Apache
4448,1732,4,Cloud computing,Data Analytics
4449,1733,0,Statistics,Data Analytics
4450,1734,7,Data Science,Hadoop-Apache
4452,1735,0,Statistics,Data Analytics
4454,1736,8,Data Science,Data Science
4455,1737,2,Data Science,Data Analytics
4456,1738,1,Machine Learning,Software Development
4457,1739,4,Data Science,Hadoop-Apache
4459,1740,4,Statistics,Data engineer
4461,1741,5,Data Science,Artificial Intelligence
4462,1742,3,Data Science,Data Analytics
4464,1743,10,Data Science,management
4474,1744,4,Data Science,Artificial Intelligence
4475,1745,5,Engineer,Data Analytics
4476,1746,3,Data Science,Data Analytics
4481,1747,6,Machine Learning,Artificial Intelligence
4482,1748,0,Executive,Hadoop-Apache
4483,1749,3,Statistics,Management
4489,1750,9,Applied Science,Data Analytics
4491,1751,3,Data Science,Data Analytics
4499,1752,8,Data Science,Deep Learning
4500,1753,0,DBMS,Data Analytics
4507,1754,7,Management,Data engineer
4508,1755,7,Machine Learning,Data Analytics
4519,1756,3,Data Science,Data Analytics
4520,1757,0,Data Science,Artificial Intelligence
4521,1758,5,DBMS,Management
4527,1759,0,Executive,Data Analytics
4529,1760,6,Data Science,Data Analytics
4533,1761,1,Management,Artificial Intelligence
4535,1762,9,Statistics,Data Analytics
4537,1763,3,DBMS,Artificial Intelligence
4539,1764,0,Statistics,Data Analytics
4541,1765,9,Data Science,Artificial Intelligence
4542,1766,9,Computer Vision,Data Analytics
4545,1767,9,Statistics,Data Analytics
4546,1768,9,DBMS,Research
4549,1769,2,Machine Learning,Data Analytics
4551,1770,2,Data Science,Artificial Intelligence
4555,1771,2,Executive,Data Analytics
4556,1772,7,Data Science,Data Science
4559,1773,5,Data Science,Data Analytics
4561,1774,5,Artificial intelligence,Data Analytics
4566,1775,2,Data Science,Data Analytics
4568,1776,9,PowerBI,Data Analytics
4572,1777,8,Data Science,science and numerics
4574,1778,9,Machine Learning,Data Analytics
4577,1779,9,Data Science,Hadoop-Apache
4581,1780,1,Statistics,Data Analytics
4588,1781,6,Data Science,Data Analytics
4589,1782,9,Data Science,Data Analytics
4593,1783,3,Data Science,Data Analytics
4595,1784,9,Data Science,Data Analytics
4597,1785,6,Data Science,science and numerics
4599,1786,0,PowerBI,Data Analytics
4600,1787,2,DBMS,Artificial Intelligence
4602,1788,7,PowerBI,Data Analytics
4603,1789,8,Data Science,Data Analytics
4609,1790,5,Data Science,Data Analytics
4619,1791,6,Statistics,Data Analytics
4621,1792,5,Data Science,Data Analytics
4625,1793,8,Data Science,Data Analytics
4635,1794,5,Management,Research
4636,1795,10,Data Science,Data Analytics
4641,1796,10,DBMS,Data Analytics
4651,1797,1,Data Science,Data Analytics
4652,1798,10,Data Science,Data Analytics
4655,1799,6,Statistics,Data Analytics
4656,1800,8,PowerBI,Data Analytics
4662,1801,6,Executive,Engineer
4663,1802,3,Data Science,Data Analytics
4664,1803,3,Statistics,Artificial Intelligence
4670,1804,6,Data Science,Artificial Intelligence
4677,1805,10,Data Science,Data Analytics
4680,1806,4,Data Science,Data Analytics
4681,1807,2,Data Science,Data Analytics
4684,1808,5,Data Science,Data Analytics
4688,1809,7,Data Science,science and numerics
4689,1810,9,Research,Data Analytics
4692,1811,4,Data Science,Data Analytics
4693,1812,7,DBMS,Data Analytics
4694,1813,2,Data Science,Data Analytics
4698,1814,3,Artificial intelligence,Data Analytics
4699,1815,10,Statistics,Data Analytics
4700,1816,7,Data Science,Data Analytics
4702,1817,2,Machine Learning,Data Analytics
4713,1818,2,Data Science,Artificial Intelligence
4714,1819,9,Data Science,Data Analytics
4716,1820,8,Research,Data Analytics
4718,1821,4,Machine Learning,Data Analytics
4721,1822,0,Statistics,Management
4723,1823,0,Data Science,Data Analytics
4724,1824,6,Finance,Data Analytics
4726,1825,6,Data Science,Artificial Intelligence
4731,1826,4,Data Science,science and numerics
4732,1827,9,DBMS,Data engineer
4733,1828,7,Executive,Data Analytics
4734,1829,7,Statistics,Data Analytics
4737,1830,4,Statistics,science and numerics
4738,1831,9,Data engineer,Data Analytics
4744,1832,0,Statistics,Data Analytics
4746,1833,1,Data Science,Artificial Intelligence
4747,1834,1,Data Science,Data Analytics
4749,1835,4,Data Science,Data Analytics
4750,1836,4,Data Science,Data Analytics
4751,1837,3,Data Science,Data Analytics
4752,1838,3,PowerBI,Data Analytics
4755,1839,1,Data Science,Data Analytics
4757,1840,3,Statistics,Data Analytics
4759,1841,0,Data Science,Data Analytics
4761,1842,5,DBMS,Data Analytics
4765,1843,0,DBMS,Artificial Intelligence
4766,1844,6,Data Science,Management
4767,1845,6,Data Science,Data Analytics
4773,1846,8,Data Science,Data Analytics
4775,1847,10,PowerBI,Artificial Intelligence
4776,1848,9,Data Science,Data Analytics
4778,1849,1,Data Science,Data Analytics
4782,1850,8,Statistics,Data Analytics
4786,1851,3,Data Science,management
4787,1852,10,Data Science,Data Analytics
4790,1853,4,Executive,Data Analytics
4793,1854,9,Data Science,Data Analytics
4797,1855,10,Data Science,Data Analytics
4803,1856,8,Data Science,Research
4806,1857,10,Machine Learning,Hadoop-Apache
4807,1858,5,Data Science,Hadoop-Apache
4808,1859,3,Data Science,Data Analytics
4809,1860,5,Machine Learning,Data Analytics
4816,1861,6,Data Science,Research
4822,1862,7,Machine Learning,Hadoop-Apache
4826,1863,2,Machine Learning,Data Analytics
4830,1864,0,Statistics,Data Analytics
4833,1865,0,Machine Learning,Data Analytics
4837,1866,3,Data Science,Data Analytics
4839,1867,10,Data Science,Hadoop-Apache
4842,1868,7,Data Science,Data Analytics
4843,1869,5,Data Science,Data Analytics
4844,1870,7,Management,Data Analytics
4845,1871,10,Data Science,Data Analytics
4851,1872,0,DBMS,Data Analytics
4852,1873,7,Statistics,Data Analytics
4863,1874,7,Data engineer,Data Analytics
4868,1875,5,Statistics,Data Analytics
4870,1876,4,Data engineer,Management
4876,1877,7,Machine Learning,Artificial Intelligence
4877,1878,9,Data Science,Data Analytics
4879,1879,0,Finance,Artificial Intelligence
4882,1880,10,Artificial intelligence,Data Analytics
4888,1881,1,DBMS,Data Analytics
4889,1882,0,Data Science,Data Analytics
4891,1883,6,Management,Data Analytics
4900,1884,10,Machine Learning,Infrastructure
4911,1885,6,Statistics,Data Analytics
4912,1886,8,Statistics,Artificial Intelligence
4913,1887,7,Data Science,Management
4914,1888,4,Data Science,Data Analytics
4915,1889,0,Management,Data Analytics
4916,1890,5,Data Science,Artificial Intelligence
4917,1891,4,Machine Learning,science and numerics
4921,1892,1,Data Science,Data engineer
4925,1893,8,Data Science,Data Analytics
4929,1894,9,PowerBI,Data Analytics
4930,1895,0,Data Science,Data Analytics
4934,1896,10,Data Science,Data Analytics
4942,1897,8,Research,Data Analytics
4943,1898,7,Machine Learning,Data Analytics
4944,1899,0,Machine Learning,Data Analytics
4947,1900,9,PowerBI,Data Analytics
4948,1901,5,Cloud computing,Management
4950,1902,6,Data Science,Data Science
4951,1903,2,Artificial intelligence,Data Analytics
4952,1904,1,Applied Science,Management
4955,1905,0,Data Science,Data Analytics
4956,1906,4,Data Science,Data Analytics
4960,1907,6,Machine Learning,Data Analytics
4962,1908,1,Data Science,Data Analytics
4964,1909,2,Data Science,Data Analytics
4968,1910,5,Data Science,Hadoop-Apache
4971,1911,7,Data Science,Data Analytics
4973,1912,8,Data Science,Data Analytics
4978,1913,10,Data engineer,Data Analytics
4980,1914,7,Machine Learning,Data Analytics
4981,1915,7,Statistics,Artificial Intelligence
4983,1916,7,Data Science,science and numerics
4988,1917,3,Data Science,Data Analytics
4990,1918,2,Research,Data Analytics
5000,1919,3,Data Science,Data Analytics
5002,1920,5,Data Science,Data Analytics
5003,1921,0,Data Science,Data Analytics
5004,1922,1,Management,Management
5006,1923,1,Applied Science,Data Science
5012,1924,2,Data Science,Data Analytics
5013,1925,6,Finance,Data Analytics
5014,1926,6,Data Science,Data Analytics
5018,1927,3,Data Science,science and numerics
5021,1928,1,Data Science,Data Analytics
5022,1929,6,Data Science,Artificial Intelligence
5027,1930,0,Machine Learning,Hadoop-Apache
5028,1931,4,Machine Learning,Data Analytics
5031,1932,5,Data Science,Research
5036,1933,5,Data Science,Data Analytics
5038,1934,5,PowerBI,Data Analytics
5041,1935,10,Machine Learning,Data Analytics
5043,1936,3,Data Science,Data engineer
5047,1937,4,Machine Learning,Data Analytics
5049,1938,1,Executive,Data Analytics
5050,1939,8,PowerBI,Machine Learning
5053,1940,2,Data Science,Data Analytics
5054,1941,4,Applied Science,Management
5055,1942,3,Data Science,Management
5056,1943,9,Data Science,Data Analytics
5057,1944,6,Machine Learning,Data Analytics
5060,1945,5,Statistics,Data Analytics
5065,1946,1,Research,science and numerics
5066,1947,1,Data Science,Hadoop-Apache
5068,1948,10,Machine Learning,Data Analytics
5073,1949,7,Data Science,Data Analytics
5082,1950,5,Data Science,Data Analytics
5094,1951,1,Data Science,Data Analytics
5097,1952,5,Statistics,Data Analytics
5099,1953,4,Statistics,Management
5103,1954,4,Executive,Data Analytics
5111,1955,6,Statistics,Data Analytics
5113,1956,7,PowerBI,Management
5116,1957,3,Data Science,Infrastructure
5117,1958,4,Data Science,Data Analytics
5122,1959,7,Data Science,Research
5126,1960,8,Data Science,Data Analytics
5127,1961,0,Data Science,Data Analytics
5128,1962,4,Machine Learning,Data Analytics
5132,1963,0,Data Science,Data Analytics
5135,1964,0,Data Science,Data Analytics
5137,1965,5,Machine Learning,Data Analytics
5140,1966,6,Executive,Data Analytics
5143,1967,4,PowerBI,Data Analytics
5144,1968,8,Data Science,Data Science
5146,1969,1,Statistics,Data Analytics
5147,1970,5,Engineer,Data Analytics
5151,1971,4,PowerBI,Data Analytics
5152,1972,6,Data Science,Data Analytics
5155,1973,6,DBMS,Management
5160,1974,10,Finance,Data Analytics
5162,1975,2,PowerBI,Data Analytics
5167,1976,6,Statistics,Data Analytics
5168,1977,1,DBMS,science and numerics
5169,1978,8,Executive,Data engineer
5172,1979,1,Data Science,Artificial Intelligence
5173,1980,0,Data Science,Management
5176,1981,5,Data Science,Research
5177,1982,0,Data Science,Data Analytics
5178,1983,10,Statistics,Artificial Intelligence
5180,1984,9,Statistics,Data Analytics
5194,1985,1,Machine Learning,Data Analytics
5196,1986,5,Data Science,Data Analytics
5198,1987,3,Data Science,Data Analytics
5203,1988,0,DBMS,Data Analytics
5204,1989,2,Data Science,Data Analytics
5205,1990,1,Machine Learning,Management
5206,1991,7,Statistics,Data Analytics
5209,1992,2,Data Science,Data Analytics
5227,1993,0,Machine Learning,Data Analytics
5228,1994,9,Data engineer,Data Analytics
5232,1995,0,Data Science,Management
5234,1996,3,Data Science,Data Analytics
5235,1997,9,Data Science,Hadoop-Apache
5238,1998,8,Data Science,Data Analytics
5239,1999,9,PowerBI,Data Analytics
5240,2000,2,Data Science,Engineer
5242,2001,1,Executive,Data Analytics
5243,2002,10,Machine Learning,Data Analytics
5245,2003,5,Data Science,Hadoop-Apache
5248,2004,5,Data Science,Research
5249,2005,5,DBMS,Data Analytics
5263,2006,1,Data Science,Data Analytics
5265,2007,0,Management,Data Analytics
5269,2008,10,Data Science,Data Analytics
5273,2009,7,Data Science,Hadoop-Apache
5278,2010,4,Statistics,Data Analytics
5281,2011,8,Data Science,Data Analytics
5284,2012,2,Data Science,Hadoop-Apache
5288,2013,9,PowerBI,Data Analytics
5292,2014,2,Data Science,Artificial Intelligence
5293,2015,6,Statistics,Data Analytics
5294,2016,5,Cloud computing,Data Analytics
5298,2017,10,Data Science,Data Analytics
5300,2018,5,Applied Science,Data Analytics
5305,2019,5,Statistics,Artificial Intelligence
5306,2020,9,Data Science,Data Analytics
5308,2021,10,Statistics,Data Analytics
5310,2022,2,Data Science,Engineer
5311,2023,1,Data Science,Data engineer
5313,2024,8,Data Science,Artificial Intelligence
5318,2025,4,Data Science,Data Analytics
5319,2026,5,Data Science,Artificial Intelligence
5323,2027,6,Data Science,Hadoop-Apache
5325,2028,7,Machine Learning,Data Analytics
5331,2029,5,PowerBI,Data Analytics
5335,2030,0,Machine Learning,Management
5336,2031,10,Data Science,Data Analytics
5338,2032,4,Statistics,Data Analytics
5339,2033,3,Data Science,Data Analytics
5342,2034,2,Data Science,Data Analytics
5350,2035,1,Statistics,Data Analytics
5352,2036,9,Data Science,Management
5362,2037,3,PowerBI,Artificial Intelligence
5366,2038,6,Data Science,Data Analytics
5369,2039,7,Data Science,Data Analytics
5370,2040,6,Data Science,Data Analytics
5371,2041,2,Executive,Data Analytics
5374,2042,3,Data Science,Data Analytics
5376,2043,0,Machine Learning,Data Analytics
5381,2044,0,Data Science,Data Science
5387,2045,6,Management,Data Analytics
5388,2046,9,Data Science,Data Science
5389,2047,10,Data Science,Artificial Intelligence
5391,2048,10,Data Science,Hadoop-Apache
5395,2049,7,Statistics,Data Analytics
5398,2050,8,Statistics,Data Analytics
5402,2051,10,Data Science,science and numerics
5404,2052,10,Executive,Data Analytics
5415,2053,8,Statistics,Data Analytics
5416,2054,10,Data Science,Data Analytics
5417,2055,1,Data Science,Data Analytics
5420,2056,8,Statistics,Deep Learning
